openreview_number,title,authorids,authors,keywords,abstract,accepted_elsewhere,publication_conference_if_published,decision,award,arXiv,webpage,poster_session
28,Instance-Aware Image Completion,~Jinoh_Cho1|~Minguk_Kang1|~Vibhav_Vineet5|~Jaesik_Park3,Jinoh Cho|Minguk Kang|Vibhav Vineet|Jaesik Park,Image Inpainting|Image Completion,"Image completion is a task that aims to fill in the missing region of a masked image with plausible contents. However, existing image completion methods tend to fill in the missing region with the surrounding texture instead of hallucinating a visual instance that is suitable in accordance with the context of the scene. In this work, we propose a novel image completion model, dubbed ImComplete, that hallucinates the missing instance that harmonizes well with - and thus preserves - the original context. ImComplete first adopts a transformer architecture that considers the visible instances and the location of the missing region. Then, ImComplete completes the semantic segmentation masks within the missing region, providing pixel-level semantic and structural guidance. Finally, the image synthesis blocks generate photo-realistic content. We perform a comprehensive evaluation of the results in terms of visual quality (LPIPS and FID) and contextual preservation scores (CLIPscore and object detection accuracy) with COCO-panoptic and Visual Genome datasets. Experimental results show the superiority of ImComplete on various natural images.",No,,Accept (Poster),,https://arxiv.org/abs/2210.12350,,2
29,Context-Preserving Two-Stage Video Domain Translation for Portrait Stylization,~Doyeon_Kim1|~Eunji_Ko1|~Hyunsu_Kim1|~Yunji_Kim1|~Junho_Kim3|~Dongchan_Min1|~Junmo_Kim1|~Sung_Ju_Hwang1,Doyeon Kim|Eunji Ko|Hyunsu Kim|Yunji Kim|Junho Kim|Dongchan Min|Junmo Kim|Sung Ju Hwang,Generative Adversarial Networks|Style Transfer|Video Translation,"Portrait stylization, which translates a real human face image into an artistically stylized image, has attracted considerable interest and many prior works have shown impressive quality in recent years. However, despite their remarkable performances in the image-level translation tasks, prior methods show unsatisfactory results when they are applied to the video domain. To address the issue, we propose a novel two-stage video translation framework with an objective function which enforces a model to generate a temporally coherent stylized video while preserving context in the source video. Furthermore, our model runs in real-time with the latency of 0.011 seconds per frame and requires only 5.6M parameters, and thus is widely applicable to practical real-world applications.",No,,Accept (Poster),,https://arxiv.org/abs/2305.19135,,2
30,Visual prompt tuning for generative transfer learning,~Kihyuk_Sohn1|~Huiwen_Chang2|~Jose_Lezama1|~Luisa_Polania_Cabrera1|~Han_Zhang5|~Yuan_Hao1|~Irfan_Essa1|~Lu_Jiang1,Kihyuk Sohn|Huiwen Chang|Jose Lezama|Luisa Polania Cabrera|Han Zhang|Yuan Hao|Irfan Essa|Lu Jiang,,"Learning generative image models from various domains efficiently needs transferring knowledge from an image synthesis model trained on a large dataset.  We present a recipe for learning vision transformers by generative knowledge transfer.  We base our framework on generative vision transformers representing an image as a sequence of visual tokens with the autoregressive or non-autoregressive transformers.   To adapt to a new domain, we employ prompt tuning, which prepends learnable tokens called prompts to the image token sequence and introduces a new prompt design for our task. We study on a variety of visual domains with varying amounts of training images. We show the effectiveness of knowledge transfer and a significantly better image generation quality. Code is available at https://github.com/google-research/generative_transfer",Yes,CVPR 2023,Accept (Poster),,https://arxiv.org/abs/2210.00990,,1
31,Sound to Visual Scene Generation by Audio-to-Visual Latent Alignment,~Kim_Sung-Bin1|~Arda_Senocak1|~Hyunwoo_Ha1|~Andrew_Owens1|~Tae-Hyun_Oh3,Kim Sung-Bin|Arda Senocak|Hyunwoo Ha|Andrew Owens|Tae-Hyun Oh,Multi-modal with audio,"How does audio describe the world around us? In this paper, we propose a method for generating an image of a scene from sound. Our method addresses the challenges of dealing with the large gaps that often exist between sight and sound. We design a model that works by scheduling the learning procedure of each model component to associate audio-visual modalities despite their information gaps. The key idea is to enrich the audio features with visual information by learning to align audio to visual latent space. We translate the input audio to visual features, then use a pre-trained generator to produce an image. To further improve the quality of our generated images, we use sound source localization to select the audio-visual pairs that have strong cross-modal correlations. We obtain substantially better results on the VEGAS and VGGSound datasets than prior approaches. We also show that we can control our model’s predictions by applying simple manipulations to the input waveform, or to the latent space.",Yes,CVPR 2023,Accept (Poster),,https://arxiv.org/abs/2303.17490,,1
33,Neural Sign Reenactor: Deep Photorealistic Sign Language Retargeting,~Christina_Ourania_Tze1|~Panagiotis_Filntisis1|ndimou@athenarc.gr|~Anastasios_Roussos1|~Petros_Maragos1,Christina Ourania Tze|Panagiotis Filntisis|Athanasia-Lida Dimou|Anastasios Roussos|Petros Maragos,,"In this paper, we introduce a neural rendering pipeline for transferring the facial expressions, head pose, and body movements of one person in a source video to another in a target video. We apply our method to the challenging case of Sign Language videos: given a source video of a sign language user, we can faithfully transfer the performed manual (e.g., handshape, palm orientation, movement, location) and non-manual (e.g., eye gaze, facial expressions, mouth patterns, head, and body movements) signs to a target video in a photo-realistic manner. We conduct detailed qualitative and quantitative evaluations and comparisons, which demonstrate the particularly promising and realistic results that we obtain as well as the advantages of our method over existing approaches.",No,,Accept (Poster),,https://arxiv.org/abs/2209.01470,,2
35,Paste and Harmonize via Denoising: Towards Controllable Exemplar-based Image Editing,~XIN_ZHANG12|~Jiaxian_Guo2|~Paul_Yoo1|~Yutaka_Matsuo1|~Yusuke_Iwasawa1,Xin Zhang|Jiaxian Guo|Paul Yoo|Yutaka Matsuo|Yusuke Iwasawa,Exemplar-based Image Editing|Diffusion Model|Harmonization.,"Text-to-Image generative models excel at creating high-quality images, but struggle with exemplar-guided image editing without compromising object identity, limiting practical applications. We propose \textit{Paste and Harmonize via Denoising}, a framework using pre-trained diffusion models for text-driven object transfer between images while preserving appearance and characteristics. The framework consists of two main steps: \textit{paste} and \textit{harmonize via denoising}. In the \textit{paste} step, an off-the-shelf segmentation model is utilized to localize objects in the exemplar image, and by pasting the object patches into the editing image, the task naturally transforms into an image harmonization task. We then introduce an \textit{image harmonization module} to guide the pre-trained diffusion model in blending the inserted object with the target image without altering its parameters, preserving concept composition and text-driven style transfer editing capabilities.  In the experiments, the qualitative comparisons with baselines demonstrate that our method achieves impressive performance in exemplar-based image editing on both training and in-the-wild images in exemplar-based image editing tasks. More qualitative results can be found at \url{https://sites.google.com/view/phd-demo-page}.",No,,Accept (Poster),,http://arxiv.org/abs/2306.07596,https://sites.google.com/view/phd-demo-page,2
37,Text-to-image Editing by Image Information Removal,~Zhongping_Zhang1|~Jian_Zheng1|~Jacob_Zhiyuan_Fang1|~Bryan_A._Plummer1,Zhongping Zhang|Jian Zheng|Jacob Zhiyuan Fang|Bryan A. Plummer,text-to-image editing|conditional diffusion model|unsupervised attribute removal,"Text-to-image editing controls and modifies specific content in the input image according to the textual descriptions. To leverage the strong capability of large-scale conditional diffusion models, recent methods typically edit images by finetuning pretrained generative models (e.g., Stable Diffusion or Imagen) and learning unique text embeddings for each input image (i.e., internal learning). However, there are two major challenges of this kind of method. First, finetuning pretrained models on a single image may lead to severe overfitting, which makes the model difficult to modify image content while preserving the irrelevant content of the original input image. Second, the inference time of internal learning methods is much longer than external learning methods, since the network parameters or feature embeddings need to be updated by hundreds of iterations. To solve these two challenges, we propose an unsupervised image information removal module and train our model on the image reconstruction task. The module includes two operations to erase both rigid and non-rigid image information. Our model eliminates the requirement to update parameters during inference, resulting in significantly faster image editing. We validate the effectiveness of our model on three public datasets, CUB, Outdoor Scenes, and COCO. The quantitative and qualitative results demonstrate that our approach achieves the best editability-fidelity tradeoff compared to current state-of-the-art methods.",No,,Accept (Oral),bestpaperrunnerup,https://arxiv.org/abs/2305.17489,,2
39,AADiff: Audio-Aligned Video Synthesis with Text-to-Image Diffusion,~SEUNGWOO_LEE2|~Chaerin_Kong1|~Donghyeon_Jeon1|~Nojun_Kwak1,Seungwoo Lee|Chaerin Kong|Donghyeon Jeon|Nojun Kwak,computer vision|generative models|diffusion models|multi-modal|text-to-video generation,"Recent advances in diffusion models have showcased promising results in the text-to-video (T2V) synthesis task. However, as these T2V models solely employ text as the guidance, they tend to struggle in modeling detailed temporal dynamics. In this paper, we introduce a novel T2V framework that additionally employ audio signals to control the temporal dynamics, empowering an off-the-shelf T2I diffusion to generate audio-aligned videos. We propose audio-based regional editing and signal smoothing to strike a good balance between the two contradicting desiderata of video synthesis, i.e., temporal flexibility and coherence. We empirically demonstrate the effectiveness of our method through experiments, and further present practical applications for contents creation.",No,,Accept (Poster),,https://arxiv.org/abs/2305.04001,,1
40,We never go out of Style: Motion Disentanglement by Subspace Decomposition of Latent Space,~Rishubh_Parihar1|~Raghav_Magazine1|~Piyush_Tiwari1|~Venkatesh_Babu_Radhakrishnan2,Rishubh Parihar|Raghav Magazine|Piyush Tiwari|Venkatesh Babu Radhakrishnan,Motion decomposition|Video Editing|GANs,"Real-world objects perform complex motions that involve multiple independent motion components. For example, while talking, a person continuously changes their expressions, head, and body pose. In this work, we propose a novel method to decompose motion in videos by using a pretrained image GAN model. We discover disentangled motion subspaces in the latent space of widely used style-based GAN models that are semantically meaningful and control a single explainable motion component. The proposed method uses only a few $(\approx10)$ ground truth video sequences to obtain such subspaces. We extensively evaluate the disentanglement properties of motion subspaces on face and car datasets, quantitatively and qualitatively. Further, we present results for multiple downstream tasks such as motion editing, and selective motion transfer, e.g. transferring only facial expressions without explicitly training for these tasks. ",No,,Accept (Poster),,https://arxiv.org/abs/2306.00559,,1
43,Discrete Predictor-Corrector Diffusion Models for Image Synthesis,~Jose_Lezama1|~Tim_Salimans1|~Lu_Jiang1|~Huiwen_Chang2|~Jonathan_Ho1|~Irfan_Essa1,Jose Lezama|Tim Salimans|Lu Jiang|Huiwen Chang|Jonathan Ho|Irfan Essa,,"We introduce Discrete Predictor-Corrector diffusion models (DPC), extending predictor-corrector samplers in Gaussian diffusion models to the discrete case. Predictor-corrector samplers are a class of samplers for diffusion models, which improve on ancestral samplers by correcting the sampling distribution of intermediate diffusion states using MCMC methods. In DPC, the Langevin corrector, which does not have a direct counterpart in discrete space, is replaced with a discrete MCMC transition defined by a learned corrector kernel. The corrector kernel is trained to make the correction steps achieve asymptotic convergence, in distribution, to the correct marginal of the intermediate diffusion states. Equipped with DPC, we revisit recent transformer-based non-autoregressive generative models through the lens of discrete diffusion, and find that DPC can alleviate the compounding decoding error due to the parallel sampling of visual tokens. Our experiments show that DPC improves upon existing discrete latent space models for class-conditional image generation on ImageNet, and outperforms continuous diffusion models and GANs, according to standard metrics and user preference studies. ",Yes,ICLR 2023,Accept (Poster),,https://openreview.net/forum?id=VM8batVBWvg,,1
44,BLT: Bidirectional Layout Transformer for Controllable Layout Generation,~Xiang_Kong1|~Lu_Jiang1|~Huiwen_Chang2|~Han_Zhang5|~Yuan_Hao1|~Haifeng_Gong2|~Irfan_Essa1,Xiang Kong|Lu Jiang|Huiwen Chang|Han Zhang|Yuan Hao|Haifeng Gong|Irfan Essa,,"Creating visual layouts is a critical step in graphic design. Automatic generation of such layouts is essential for scalable and diverse visual designs. To advance conditional layout generation, we introduce BLT, a bidirectional layout transformer. BLT differs from previous work on transformers in adopting non-autoregressive transformers. In training, BLT learns to predict the masked attributes by attending to surrounding attributes in two directions. During inference, BLT first generates a draft layout from the input and then iteratively refines it into a high-quality layout by masking out low-confident attributes. The masks generated in both training and inference are controlled by a new hierarchical sampling policy. We verify the proposed model on six benchmarks of diverse design tasks. Experimental results demonstrate two benefits compared to the state-of-the-art layout transformer models. First, our model empowers layout transformers to fulfill controllable layout generation. Second, it achieves up to 10x speedup in generating a layout at inference time than the layout transformer baseline. Code is released at https://github.com/google-research/google-research/tree/master/layout-blt",Yes,ECCV 2022,Accept (Poster),,https://arxiv.org/abs/2112.05112,https://shawnkx.github.io/blt,1
45,Matching-based Data Valuation for Generative Model,~Jiaxi_Yang2|~Wenlong_Deng1|~Benlin_Liu1|~Yangsibo_Huang2|~Xiaoxiao_Li1,Jiaxi Yang|Wenlong Deng|Benlin Liu|Yangsibo Huang|Xiaoxiao Li,Generative model|Data valuation,"Data valuation is critical in machine learning, as it helps enhance model transparency and protect data properties. Existing data valuation methods have primarily focused on discriminative models, neglecting deep generative models that have recently gained considerable attention. Similar to discriminative models, there is an urgent need to assess data contributions in deep generative models as well. However, previous data valuation approaches mainly relied on discriminative model performance metrics and required model retraining. Consequently, they cannot be applied directly and efficiently to recent deep generative models, such as generative adversarial networks and diffusion models, in practice. To bridge this gap, we formulate the data valuation problem in generative models from a similarity-matching perspective. Specifically, we introduce Generative Model Valuator (GMValuator), the first model-agnostic approach for any generative models, designed to provide data valuation for generation tasks. We have conducted extensive experiments to demonstrate the effectiveness of the proposed method. To the best of their knowledge, GMValuator is the first work that offers a training-free, post-hoc data valuation strategy for deep generative models.",No,,Accept (Poster),,https://arxiv.org/abs/2304.10701,,1
