openreview_number,title,authorids,authors,keywords,abstract,accepted_elsewhere,publication_conference_if_published,decision,award,arXiv,webpage,poster_session
17,EverLight: Indoor-Outdoor Editable HDR Lighting Estimation,~Mohammad_Reza_Karimi_Dastjerdi1|~Jonathan_Eisenmann1|~Yannick_Hold-Geoffroy2|~Jean-Francois_Lalonde2,Mohammad Reza Karimi Dastjerdi|Jonathan Eisenmann|Yannick Hold-Geoffroy|Jean-Francois Lalonde,lighting estimation; image-based lighting; high dynamic range,"Because of the diversity in lighting environments, existing illumination estimation techniques have been designed explicitly on indoor or outdoor environments. Methods have focused specifically on capturing accurate energy (e.g., through parametric lighting models), which emphasizes shading and strong cast shadows; or producing plausible texture (e.g., with GANs), which prioritizes plausible reflections. Approaches which provide editable lighting capabilities have been proposed, but these tend to be with simplified lighting models, offering limited realism. In this work, we propose to bridge the gap between these recent trends in the literature, and propose a method which combines a parametric light model with 360° panoramas, ready to use as HDRI in rendering engines. We leverage recent advances in GAN-based LDR panorama extrapolation from a regular image, which we extend to HDR using parametric spherical gaussians. To achieve this, we introduce a novel lighting co-modulation method that injects lighting-related features throughout the generator, tightly coupling the original or edited scene illumination within the panorama generation process. In our representation, users can easily edit light direction, intensity, number, etc. to impact shading while providing rich, complex reflections while seamlessly blending with the edits. Furthermore, our method encompasses indoor and outdoor environments, demonstrating state-of-the-art results even when compared to domain-specific methods.",Yes,ICCV23,Accept (Poster),,,,2
18,NeRFFaceSpeech: One-shot Audio-diven 3D Talking Head Synthesis via Generative Prior,~Gihoon_Kim1|~Kwanggyoon_Seo1|~Sihun_Cha1|~Junyong_Noh1,Gihoon Kim|Kwanggyoon Seo|Sihun Cha|Junyong Noh,One-shot|Audio-diven|3D Talking Head|NeRF|Generative Prior,"Audio-driven talking head generation is advancing from 2D to 3D content. Notably, Neural Radiance Field (NeRF) is in the spotlight as a means to synthesize high-quality 3D talking head outputs. Unfortunately, this NeRF-based approach typically requires a large number of paired audio-visual data for each identity, thereby limiting the scalability of the method. Although there have been attempts to generate audio-driven 3D talking head animations with a single image, the results are often unsatisfactory due to insufficient information on obscured regions in the image. In this paper, we mainly focus on addressing the overlooked aspect of 3D consistency  in the one-shot, audio-driven domain, where facial animations are synthesized primarily in front-facing perspectives. We propose a novel method, NeRFFaceSpeech, which enables to produce high-quality 3D-aware talking head. Using prior knowledge of generative models combined with NeRF, our method can craft a 3D-consistent facial feature space corresponding to a single image. Our spatial synchronization method employs audio-correlated vertex dynamics of a parametric face model to transform static image features into dynamic visuals through ray deformation, ensuring realistic 3D facial motion. Moreover, we introduce LipaintNet that can replenish the lacking information in the inner-mouth area, which can not be obtained from a given single image. The network is trained in a self-supervised manner by utilizing the generative capabilities without additional data. The comprehensive experiments demonstrate the superiority of our method in generating audio-driven talking heads from a single image with enhanced 3D consistency compared to previous approaches. In addition, we introduce a quantitative way of measuring the robustness of a model against pose changes for the first time, which has been possible only qualitatively.",No,,Accept (Poster),,https://arxiv.org/abs/2405.05749,https://rlgnswk.github.io/NeRFFaceSpeech_ProjectPage/,1
19,FlexEControl: Flexible and Efficient Multimodal Control for Text-to-Image Generation,~Xuehai_He1|~Jian_Zheng1|~Jacob_Zhiyuan_Fang1|~Robinson_Piramuthu1|~Mohit_Bansal2|~Vicente_Ordonez2|~Gunnar_A_Sigurdsson1|~Nanyun_Peng1|~Xin_Eric_Wang2,Xuehai He|Jian Zheng|Jacob Zhiyuan Fang|Robinson Piramuthu|Mohit Bansal|Vicente Ordonez|Gunnar A Sigurdsson|Nanyun Peng|Xin Eric Wang,Controllable Text-to-image Generation|Efficient Learning,"Controllable text-to-image (T2I) diffusion models generate images conditioned on both text prompts and semantic inputs of other modalities like edge maps. Nevertheless, current controllable T2I methods commonly face challenges related to efficiency and faithfulness, especially when conditioning on multiple inputs from either the same or diverse modalities. In this paper, we propose a novel Flexible and Efficient method, FlexEControl, for controllable T2I generation. At the core of FlexEControl is a unique weight decomposition strategy, which allows for streamlined integration of various input types. This approach not only enhances the faithfulness of the generated image to the control, but also significantly reduces the computational overhead typically associated with multimodal conditioning.
Our approach achieves a reduction of 41% in trainable parameters and 30% in memory usage compared with Uni-ControlNet. Moreover, it doubles data efficiency and can flexibly generate images under the guidance of multiple input conditions of various modalities.",No,,Accept (Poster),,https://arxiv.org/abs/2405.04834,,2
20,VSTAR: Generative Temporal Nursing for Longer Dynamic Video Synthesis,~Yumeng_Li2|~William_H._Beluch1|~Margret_Keuper1|~Dan_Zhang1|~Anna_Khoreva1,Yumeng Li|William H. Beluch|Margret Keuper|Dan Zhang|Anna Khoreva,Text-to-Video|Temporal Attention|Video Diffusion Model,"Despite tremendous progress in the field of text-to-video (T2V) synthesis, open-sourced T2V diffusion models struggle to generate longer videos with dynamically varying and evolving content. They tend to synthesize quasi-static videos, ignoring the necessary visual change-over-time implied in the text prompt. At the same time, scaling these models to enable longer, more dynamic video synthesis often remains computationally intractable. To address this challenge, we introduce the concept of Generative Temporal Nursing (GTN), where we aim to alter the generative process on the fly during inference to improve control over the temporal dynamics and enable generation of longer videos. We propose a method for GTN, dubbed VSTAR, which consists of two key ingredients: 1) Video Synopsis Prompting (VSP) - automatic generation of a video synopsis based on the original single prompt leveraging LLMs, which gives accurate textual guidance to different visual states of longer videos, and 2) Temporal Attention Regularization (TAR) - a regularization technique to refine the temporal attention units of the pre-trained T2V diffusion models, which enables control over the video dynamics. We experimentally showcase the superiority of the proposed approach in generating longer, visually appealing videos over existing open-sourced T2V models.",No,,Accept (Poster),,https://drive.google.com/file/d/1Ea6TKR9y6O16_xWlUWpnwds67pDpIckD/view?usp=sharing,https://yumengli007.github.io/VSTAR/,1
21,Pix2Gif: Motion-Guided Diffusion for GIF Generation,~Hitesh_Kandala1|~Jianfeng_Gao1|~Jianwei_Yang1,Hitesh Kandala|Jianfeng Gao|Jianwei Yang,Diffusion|image-to-video generation|image-to-image translation,"We present Pix2Gif, a motion-guided diffusion model for image-to-GIF (video) generation. We tackle this problem differently by formulating the task as an image translation problem steered by text and motion magnitude prompts, as shown in the teaser figure. To ensure that the model adheres to motion guidance, we propose a new motion-guided warping module to spatially transform the features of the source image conditioned on the two types of prompts. Furthermore, we introduce a perceptual loss to ensure the transformed feature map remains within the same space as the target image, ensuring content consistency and coherence. In preparation for the model training, we meticulously curated data by extracting coherent image frames from the TGIF video-caption dataset, which provides rich information about the temporal changes of subjects. After pretraining, we apply our model in a zero-shot manner to a number of video datasets. Extensive qualitative and quantitative experiments demonstrate the effectiveness of our model -- it not only captures the semantic prompt from text but also the spatial ones from motion guidance. We train all our models using a single node of 16$\times$V100 GPUs.",No,,Accept (Poster),,,,2
22,LOVECon: Text-driven Training-free Long Video Editing with ControlNet,~Zhenyi_Liao1|~Zhijie_Deng1,Zhenyi Liao|Zhijie Deng,Video editing|Training-free|Diffusion models,"Leveraging pre-trained conditional diffusion models for video editing without further tuning has gained increasing attention due to its promise in film production, advertising, etc. 
Yet, seminal works in this line fall short in generation length, temporal coherence, or fidelity to the source video. 
This paper aims to bridge the gap, establishing a simple and effective baseline for training-free diffusion model-based long video editing. 
As suggested by prior arts, we build the pipeline upon ControlNet, which excels at various image editing tasks based on text prompts. 
To break down the length constraints caused by limited computational memory, we split the long video into consecutive windows and develop a novel cross-window attention mechanism to ensure the consistency of global style and maximize the smoothness among windows. 
To achieve more accurate control, we extract the information from the source video via DDIM inversion and integrate the outcomes into the latent states of the generations. 
We also incorporate a video frame interpolation model to mitigate the frame-level flickering issue. 
Extensive empirical studies verify the superior efficacy of our method over competing baselines across scenarios, including the replacement of the attributes of foreground objects, style transfer, and background replacement. 
Besides, our method manages to edit videos comprising hundreds of frames according to user requirements.",No,,Accept (Poster),,https://arxiv.org/abs/2310.09711,https://github.com/zhijie-group/LOVECon,1
23,LoopDraw: a Loop-Based Autoregressive Model for Shape Synthesis and Editing,~Nam_Anh_Dinh1|~Haochen_Wang2|~Greg_Shakhnarovich1|~Rana_Hanocka1,Nam Anh Dinh|Haochen Wang|Greg Shakhnarovich|Rana Hanocka,loops|3D|modeling|editing|autoregressive|sequence,"There is no settled universal 3D representation for geometry with many alternatives such as point clouds, meshes, implicit functions, and voxels to name a few. In this work, we present a new, compelling alternative for representing shapes using a sequence of cross-sectional closed loops. The loops across all planes form an organizational hierarchy which we leverage for autoregressive shape synthesis and editing. Loops are a non-local description of the underlying shape, as simple loop manipulations (such as shifts) result in significant structural changes to the geometry. This is in contrast to manipulating local primitives such as points in a point cloud or a triangle in a triangle mesh. We further demonstrate that loops are intuitive and natural primitive for analyzing and editing shapes, both computationally and for users.",No,,Accept (Poster),,https://arxiv.org/abs/2212.04981,https://threedle.github.io/LoopDraw,2
25,Posterior Distillation Sampling,~Juil_Koo1|~Chanho_Park2|~Minhyuk_Sung1,Juil Koo|Chanho Park|Minhyuk Sung,Diffusion model|NeRF editing|3D Gaussian Splatting editing|SVG editing|SDS,"We introduce Posterior Distillation Sampling (PDS), a novel optimization method for parametric image editing based on diffusion models. Existing optimization-based methods, which leverage the powerful 2D prior of diffusion models to handle various parametric images, have mainly focused on generation. Unlike generation, editing requires a balance between conforming to the target attribute and preserving the identity of the source content. Recent 2D image editing methods have achieved this balance by leveraging the stochastic latent encoded in the generative process of diffusion models. To extend the editing capabilities of diffusion models shown in pixel space to parameter space, we reformulate the 2D image editing method into an optimization form named PDS. PDS matches the stochastic latents of the source and the target, enabling the sampling of targets in diverse parameter spaces that align with a desired attribute while maintaining the source's identity. We demonstrate that this optimization resembles running a generative process with the target attribute, but aligning this process with the trajectory of the source's generative process. Extensive editing results in Neural Radiance Fields and Scalable Vector Graphics representations demonstrate that PDS is capable of sampling targets to fulfill the aforementioned balance across various parameter spaces.",Yes,CVPR24,Accept (Poster),,https://arxiv.org/abs/2311.13831,https://posterior-distillation-sampling.github.io/,1
28,Text Prompting for Multi-Concept Video Customization by Autoregressive Generation,~Divya_Kothandaraman1|~Kihyuk_Sohn1|~Ruben_Villegas1|~Paul_Voigtlaender1|~Dinesh_Manocha3|~Mohammad_Babaeizadeh1,Divya Kothandaraman|Kihyuk Sohn|Ruben Villegas|Paul Voigtlaender|Dinesh Manocha|Mohammad Babaeizadeh,multi-concept video customization|prompting|autoregressive generation;,"We present a method for multi-concept customization of pretrained text-to-video (T2V) models. Intuitively, the multi-concept customized video can be derived from the (non-linear) intersection of the video manifolds of the individual concepts, which is not straightforward to find. We hypothesize that sequential and controlled walking towards the intersection of the video manifolds, directed by text prompting, leads to the solution. To do so, we generate the various concepts and their corresponding interactions, sequentially, in an autoregressive manner. Our method can generate videos of multiple custom concepts (subjects, action and background) such as a teddy bear running towards a brown teapot, a dog playing violin and a teddy bear swimming in the ocean. We quantitatively evaluate our method using videoCLIP and DINO scores, in addition to human evaluation.",No,,Accept (Poster),,http://arxiv.org/abs/2405.13951,https://github.com/divyakraman/MultiConceptVideo2024,2
29,The Lost Melody: Empirical Observations on Text-to-Video Generation From A Storytelling Perspective,~Andrew_Shin1|~Yusuke_Mori1|~Kunitake_Kaneko1,Andrew Shin|Yusuke Mori|Kunitake Kaneko,text-to-video generation|generative models|story evaluation,"Text-to-video generation task has witnessed a notable progress, with the generated outcomes reflecting the text prompts with high fidelity and impressive visual qualities. However, current text-to-video generation models are invariably focused on conveying the visual elements of a single scene, and have so far been indifferent to another important potential of the medium, namely a storytelling. In this paper, we examine text-to-video generation from a storytelling perspective, which has been hardly investigated, and make empirical remarks that spotlight the limitations of current text-to-video generation scheme. We also propose an evaluation framework for storytelling aspects of videos, and discuss the potential future directions.",No,,Accept (Poster),,https://arxiv.org/abs/2405.08720,,1
30,Towards Safer AI Content Creation by Immunizing Text-to-image Models,~Amber_Yijia_Zheng1|~Raymond_A._Yeh1,Amber Yijia Zheng|Raymond A. Yeh,DreamBooth|Textual-Inversion|Diffusion model,"Advancements in open-sourced text-to-image models and fine-tuning methods have led to the increasing risk of malicious adaptation, i.e., fine-tuning to generate harmful/unauthorized content. Recent works, e.g., Glaze or MIST, have developed data-poisoning techniques which protect the data against adaptation methods. In this work, we consider an alternative paradigm for protection. We propose to ``immunize'' the model by learning model parameters that are difficult for the adaptation methods when fine-tuning malicious content; in short IMMA. Specifically, IMMA should be applied before the release of the model weights to mitigate these risks. Empirical results show IMMA's effectiveness against malicious adaptations, including mimicking the artistic style and learning of inappropriate/unauthorized content, over three adaptation methods: LoRA, Textual-Inversion, and DreamBooth.",No,,Accept (Poster),,,,2
31,Reference-based Painterly Inpainting via Diffusion: Crossing the Wild Reference Domain Gap,~Dejia_Xu1|~Xingqian_Xu2|~Wenyan_Cong1|~Humphrey_Shi1|~Zhangyang_Wang1,Dejia Xu|Xingqian Xu|Wenyan Cong|Humphrey Shi|Zhangyang Wang,image inpainting|diffusion model,"Have you ever imagined how it would look if we placed new objects into paintings? For example, what would it look like if we placed a basketball into Claude Monet's ''Water Lilies, Evening Effect''?
We propose Reference-based Painterly Inpainting, a novel task that crosses the wild reference domain gap and implants novel objects into artworks. Although previous works have examined reference-based inpainting, they are not designed for large domain discrepancies between the target and the reference, such as inpainting an artistic image using a photorealistic reference. This paper proposes a novel diffusion framework, dubbed RefPaint, to ``inpaint more wildly'' by taking such references with large domain gaps. Built with an image-conditioned diffusion model, we introduce a ladder-side branch and a masked fusion mechanism to work with the inpainting mask. By decomposing the CLIP image embeddings at inference time, one can manipulate the strength of semantic and style information with ease. Experiments demonstrate that our proposed RefPaint framework produces significantly better results than existing methods. Our method enables creative painterly image inpainting with reference objects that would otherwise be difficult to achieve.",No,,Accept (Poster),,,,1
32,Spatial Steerability of GANs via Self-Supervision from Discriminator,~Jianyuan_Wang2|~Lalit_Bhagat1|~Ceyuan_Yang2|~Yinghao_Xu1|~Yujun_Shen1|~Hongdong_Li1|~Bolei_Zhou5,Jianyuan Wang|Lalit Bhagat|Ceyuan Yang|Yinghao Xu|Yujun Shen|Hongdong Li|Bolei Zhou,Generative models|spatial editing|interpretability,"In this work, we propose a self-supervised approach to improve the spatial steerability of GANs without searching for steerable directions in the latent space or requiring extra annotations. Specifically, we design randomly sampled Gaussian heatmaps to be encoded into the intermediate layers of generative models as spatial inductive bias. Along with training the GAN model from scratch, these heatmaps are being aligned with the emerging attention of the GAN's discriminator in a self-supervised learning manner. During inference, users can interact with the spatial heatmaps intuitively, enabling them to edit the output image by adjusting the scene layout, moving, or removing objects. Moreover, we incorporate DragGAN into our framework, which facilitates fine-grained manipulation within a reasonable time and supports a coarse-to-fine editing process. Extensive experiments show that the proposed method not only enables spatial editing over human faces, animal faces, outdoor scenes, and complicated multi-object indoor scenes but also brings improvement in synthesis quality.",Yes,CVPR22,Accept (Poster),,,,2
33,Paint-it: Text-to-Texture Synthesis via Deep Convolutional Texture Map Optimization and Physically-Based Rendering,~Kim_Youwang1|~Tae-Hyun_Oh3|~Gerard_Pons-Moll2,Kim Youwang|Tae-Hyun Oh|Gerard Pons-Moll,Text-driven texture synthesis|Neural re-parameterization|Physically-Based Rendering,"We present Paint-it, a text-driven high-fidelity texture map synthesis method for 3D meshes via neural re-parameterized texture optimization. Paint-it synthesizes texture maps from a text description by synthesis-through-optimization, exploiting the Score-Distillation Sampling (SDS). We observe that directly applying SDS yields undesirable texture quality due to its noisy gradients. We reveal the importance of texture parameterization when using SDS. Specifically, we propose Deep Convolutional Physically-Based Rendering (DC-PBR) parameterization, which re-parameterizes the physically-based rendering (PBR) texture maps with randomly initialized convolution-based neural kernels, instead of a standard pixel-based parameterization. We show that DC-PBR inherently schedules the optimization curriculum according to texture frequency and naturally filters out the noisy signals from SDS. In experiments, Paint-it obtains remarkable quality PBR texture maps within 15 min., given only a text description. We demonstrate the generalizability and practicality of Paint-it by synthesizing high-quality texture maps for large-scale mesh datasets and showing test-time applications such as relighting and material control using a popular graphics engine. Project page: https://kim-youwang.github.io/paint-it",Yes,CVPR24,Accept (Poster),,https://arxiv.org/abs/2312.11360,https://kim-youwang.github.io/paint-it,1
